EEID,Workday ID,Title,Contract Type,Employment Type,Gender,Status,Termination Type,Job Level,Department,Location,Hire Source,Hire Date,Termination Date,Date of Last Promotion,Prior Job Level,Date of Last Job Change,Parental Leave Start,Parental Leave End,Secondary Carer Parental Leave Start,Secondary Carer Parental Leave End
33,W100032,Director of Marketing,Permanent,Full Time,Female,Active,,9,IT,Chicago,Referral,2017-07-18,,,8,2017-07-18,,,,
34,W100033,Senior Marketing Specialist,Contractor,Part Time,Female,Active,,6,Engineering,Austin,Campus Recruiting,2013-05-16,,2023-05-09,5,2023-05-09,,,,
35,W100034,Sales Associate,Contractor,Full Time,Male,Active,,4,Product,Remote,Recruiter,2022-10-08,,,3,2022-10-08,,,,
36,W100035,Software Engineer,Permanent,Full Time,Female,Active,,4,Engineering,Chicago,Campus Recruiting,2022-11-27,,2024-05-07,3,2024-05-07,,,,
37,W100036,Senior Sales Associate,Contractor,Full Time,Female,Active,,6,Marketing,New York,Internal Transfer,2015-07-06,,2021-07-13,5,2021-07-13,,,,
38,W100037,Engineering Manager,Contractor,Part Time,Female,Terminated,Involuntary,7,Sales,Chicago,Job Board,2015-04-25,2022-07-28,2017-03-22,6,2017-03-22,,,,
39,W100038,CMO,Permanent,Full Time,Female,Active,,13,Sales,Chicago,Campus Recruiting,2017-02-10,,,,2017-02-10,,,,
40,W100039,Sales Manager,Permanent,Part Time,Male,Active,,7,Operations,Chicago,Recruiter,2010-11-08,,2022-10-23,6,2022-10-23,,,2023-11-30,2024-01-11
41,W100040,Vice President of Sales,Permanent,Full Time,Male,Active,,11,HR,New York,Job Board,2013-08-27,,2019-01-07,10,2019-01-07,,,,
42,W100041,Vice President of Sales,Permanent,Full Time,Male,Active,,11,IT,Austin,Internal Transfer,2018-06-24,,2019-11-14,10,2019-11-14,,,,
43,W100042,Director of Marketing,Permanent,Full Time,Female,Active,,9,Marketing,Remote,Recruiter,2015-10-08,,2019-09-17,8,2019-09-17,,,,
44,W100043,Data Scientist,Contractor,Full Time,Female,Active,,6,Engineering,Chicago,Job Board,2025-01-16,,,,2025-01-16,,,,
45,W100044,Senior Marketing Specialist,Permanent,Part Time,Female,Active,,6,Sales,San Francisco,Job Board,2014-04-21,,2022-06-04,5,2022-06-04,,,,
46,W100045,Senior Marketing Specialist,Permanent,Part Time,Female,Active,,6,Finance,Austin,Campus Recruiting,2021-12-04,,,5,2021-12-04,,,,
47,W100046,Sales Manager,Contractor,Full Time,Male,Active,,7,Operations,San Francisco,Job Board,2019-01-22,,,6,2019-01-22,,,,
48,W100047,Senior Sales Associate,Contractor,Part Time,Female,Active,,6,Operations,San Francisco,Recruiter,2020-04-04,,,,2020-04-04,2022-05-06,2022-06-17,,
49,W100048,CTO,Permanent,Full Time,Male,Active,,13,Marketing,San Francisco,Referral,2014-01-04,,2022-01-16,12,2022-01-16,,,,
50,W100049,Product Manager,Permanent,Part Time,Male,Active,,7,Product,Austin,Job Board,2012-02-13,,2019-03-20,6,2019-03-20,,,,
51,W100050,UX Designer,Contractor,Part Time,Male,Active,,5,Engineering,Austin,Campus Recruiting,2011-03-02,,2017-04-07,4,2017-04-07,,,,
52,W100051,Product Manager,Permanent,Part Time,Female,Active,,7,Engineering,Chicago,Recruiter,2020-02-21,,2021-02-18,6,2021-02-18,,,,
53,W100052,CMO,Permanent,Full Time,Female,Active,,13,HR,San Francisco,Campus Recruiting,2022-01-12,,,,2022-01-12,,,,
54,W100053,Product Manager,Permanent,Part Time,Male,Active,,7,Operations,Boston,Referral,2011-03-12,,2023-03-06,6,2023-03-06,,,,
55,W100054,Junior Sales Associate,Contractor,Full Time,Male,Active,,2,Operations,San Francisco,Internal Transfer,2012-05-03,,2019-04-19,1,2019-04-19,,,,
56,W100055,CTO,Permanent,Full Time,Female,Terminated,Voluntary,13,HR,Boston,Recruiter,2014-12-08,2019-03-02,,,2023-08-29,,,,
57,W100056,Director of Engineering,Permanent,Full Time,Female,Terminated,Voluntary,9,Finance,Austin,Job Board,2024-07-02,2024-12-07,,8,2024-07-02,,,,
58,W100057,CFO,Permanent,Full Time,Male,Active,,13,IT,San Francisco,Referral,2013-11-26,,2018-10-20,12,2018-10-20,,,,
59,W100058,Senior Data Scientist,Permanent,Full Time,Female,Active,,8,IT,Austin,Campus Recruiting,2012-09-17,,2021-12-21,7,2021-12-21,,,,
60,W100059,Sales Associate,Contractor,Part Time,Male,Terminated,Involuntary,4,Finance,Austin,Job Board,2020-12-13,2022-10-21,,3,2020-12-13,,,2023-08-17,2023-09-28
61,W100060,CTO,Permanent,Full Time,Male,Active,,13,IT,San Francisco,Campus Recruiting,2023-05-18,,,12,2023-05-18,,,,
62,W100061,Data Analyst,Permanent,Full Time,Male,Active,,3,Sales,Austin,Recruiter,2014-05-12,,2015-05-19,2,2015-05-19,,,,
63,W100062,CMO,Permanent,Full Time,Male,Active,,13,HR,Boston,Recruiter,2023-09-07,,,12,2023-09-07,,,,
64,W100063,SVP of Marketing,Permanent,Full Time,Male,Active,,12,Engineering,Austin,Recruiter,2015-01-13,,2022-08-23,11,2022-08-23,2023-11-17,2023-12-29,,
65,W100064,SVP of Marketing,Permanent,Full Time,Female,Active,,12,Finance,Remote,Campus Recruiting,2017-03-08,,2022-10-20,11,2022-10-20,,,,
66,W100065,Engineering Manager,Contractor,Full Time,Male,Active,,7,Sales,Chicago,Internal Transfer,2010-10-06,,2020-04-11,6,2020-04-11,,,,
67,W100066,Senior Product Manager,Permanent,Full Time,Male,Active,,9,Finance,Austin,Internal Transfer,2022-11-22,,,8,2023-07-18,,,,
68,W100067,Director of Engineering,Permanent,Full Time,Male,Active,,9,Operations,San Francisco,Internal Transfer,2020-11-21,,,,2020-11-21,,,,
69,W100068,CIO,Permanent,Full Time,Male,Active,,13,Operations,San Francisco,Internal Transfer,2011-06-19,,,,2011-06-19,,,,
70,W100069,Director of Engineering,Permanent,Full Time,Male,Active,,9,Sales,Austin,Referral,2018-12-12,,2022-10-11,8,2022-10-11,,,,
71,W100070,Director of Marketing,Permanent,Full Time,Female,Active,,9,IT,Remote,Job Board,2023-10-02,,,8,2024-12-07,,,,
72,W100071,CEO,Permanent,Full Time,Female,Terminated,Involuntary,14,HR,Boston,Campus Recruiting,2010-10-26,2021-02-26,2022-01-11,13,2022-01-11,,,,
73,W100072,Vice President of Sales,Permanent,Full Time,Male,Active,,11,HR,Austin,Recruiter,2014-02-12,,2020-10-14,10,2020-10-14,,,,
74,W100073,Senior Data Analyst,Permanent,Part Time,Female,Terminated,Voluntary,5,Finance,Remote,Job Board,2015-12-07,2021-06-02,,,2023-09-25,,,,
75,W100074,COO,Permanent,Full Time,Male,Active,,13,Marketing,San Francisco,Internal Transfer,2022-07-15,,,12,2022-07-15,,,,
76,W100075,Director of Sales,Permanent,Full Time,Male,Active,,9,Operations,Boston,Internal Transfer,2014-06-20,,2016-12-06,8,2016-12-06,,,,
77,W100076,Senior Data Analyst,Contractor,Part Time,Female,Active,,5,Marketing,San Francisco,Internal Transfer,2021-12-02,,,4,2024-07-24,,,,
78,W100077,COO,Permanent,Full Time,Male,Active,,13,Operations,Austin,Internal Transfer,2023-10-13,,,12,2023-10-13,,,,
79,W100078,Marketing Specialist,Permanent,Full Time,Female,Active,,4,Finance,Austin,Recruiter,2014-11-02,,2021-04-05,3,2021-04-05,,,,
80,W100079,Junior Software Engineer,Permanent,Part Time,Male,Active,,2,Marketing,Austin,Campus Recruiting,2020-10-26,,,1,2024-08-25,2022-02-02,2022-03-16,2020-07-07,2020-08-18
81,W100080,CEO,Permanent,Full Time,Female,Active,,14,Operations,Chicago,Internal Transfer,2021-08-21,,,,2021-08-21,,,,
82,W100081,CIO,Permanent,Full Time,Female,Active,,13,Product,Remote,Internal Transfer,2021-07-24,,,,2021-07-24,,,,
83,W100082,Marketing Manager,Permanent,Full Time,Male,Active,,7,IT,Chicago,Campus Recruiting,2023-09-01,,,6,2023-09-01,,,,
84,W100083,Director of Sales,Permanent,Full Time,Female,Active,,9,Marketing,Boston,Recruiter,2020-01-02,,,8,2020-01-02,,,,
85,W100084,SVP of Marketing,Permanent,Full Time,Female,Active,,12,HR,Austin,Referral,2023-11-01,,,11,2024-06-16,,,,
86,W100085,Senior Software Engineer,Contractor,Full Time,Female,Active,,6,HR,New York,Referral,2022-02-16,,,5,2022-02-16,,,,
87,W100086,Product Manager,Permanent,Full Time,Male,Active,,7,IT,San Francisco,Referral,2021-03-19,,,,2023-11-02,,,,
88,W100087,Vice President of Sales,Permanent,Full Time,Female,Active,,11,Product,San Francisco,Job Board,2022-01-25,,2023-07-06,10,2023-07-06,,,,
89,W100088,Vice President of Marketing,Permanent,Full Time,Female,Active,,11,Sales,Chicago,Referral,2020-12-19,,,,2020-12-19,,,,
90,W100089,Director of Marketing,Permanent,Full Time,Male,Active,,9,HR,Remote,Recruiter,2014-12-07,,,,2014-12-07,,,,
91,W100090,Senior Product Manager,Permanent,Full Time,Female,Active,,9,Engineering,San Francisco,Recruiter,2022-06-15,,,8,2022-06-15,,,,
92,W100091,Senior Data Analyst,Contractor,Part Time,Male,Active,,5,Sales,Remote,Recruiter,2020-03-16,,,4,2020-03-16,,,,
93,W100092,Data Scientist,Contractor,Full Time,Male,Terminated,Voluntary,6,Marketing,Boston,Job Board,2016-12-07,2023-02-05,2020-12-21,5,2020-12-21,,,,
94,W100093,Sales Manager,Contractor,Part Time,Female,Active,,7,IT,Remote,Campus Recruiting,2024-06-25,,,6,2024-06-25,,,,
95,W100094,SVP of Engineering,Permanent,Full Time,Male,Active,,12,Sales,San Francisco,Campus Recruiting,2014-09-28,,2023-09-06,11,2023-09-06,,,,
96,W100095,UX Designer,Contractor,Full Time,Male,Active,,5,Product,Remote,Referral,2010-11-06,,2023-07-06,4,2023-07-06,2022-08-04,2022-09-15,,
97,W100096,SVP of Engineering,Permanent,Full Time,Male,Active,,12,Engineering,Remote,Internal Transfer,2018-09-28,,,11,2018-09-28,,,,
98,W100097,Senior UX Designer,Permanent,Full Time,Female,Active,,7,HR,San Francisco,Internal Transfer,2023-05-15,,,6,2023-06-14,,,,
99,W100098,Junior Sales Associate,Permanent,Part Time,Male,Active,,2,Sales,Boston,Referral,2010-04-06,,2016-09-26,1,2016-09-26,,,,
100,W100099,Senior Product Manager,Permanent,Full Time,Male,Active,,9,Marketing,San Francisco,Campus Recruiting,2013-04-05,,,,2013-04-05,,,2024-05-05,2024-06-16
101,W100100,Software Engineer,Permanent,Part Time,Male,Terminated,Involuntary,4,IT,Boston,Recruiter,2013-12-06,2019-05-15,2016-04-13,3,2016-04-13,,,,
102,W100101,Sales Manager,Permanent,Part Time,Female,Active,,7,IT,Boston,Internal Transfer,2017-05-02,,2021-04-15,6,2021-04-15,,,,
103,W100102,COO,Permanent,Full Time,Female,Active,,13,Engineering,Remote,Internal Transfer,2011-11-17,,,,2011-11-17,,,,
104,W100103,CTO,Permanent,Full Time,Female,Active,,13,Finance,Remote,Campus Recruiting,2021-11-05,,2023-07-01,12,2023-07-01,,,,
105,W100104,Senior UX Designer,Permanent,Full Time,Female,Active,,7,Engineering,Chicago,Referral,2021-08-13,,,6,2021-08-13,,,,
106,W100105,Marketing Manager,Permanent,Full Time,Female,Active,,7,Marketing,Chicago,Internal Transfer,2012-05-07,,2023-12-21,6,2023-12-21,,,,
107,W100106,CTO,Permanent,Full Time,Male,Terminated,Involuntary,13,Engineering,Chicago,Job Board,2016-05-17,2024-08-25,,,2016-05-17,,,,
108,W100107,Data Scientist,Contractor,Part Time,Female,Active,,6,Marketing,Austin,Recruiter,2015-09-17,,2016-06-15,5,2016-06-15,,,,
109,W100108,Engineering Manager,Permanent,Part Time,Female,Active,,7,IT,San Francisco,Internal Transfer,2020-01-22,,,,2020-01-22,,,,
110,W100109,SVP of Engineering,Permanent,Full Time,Female,Active,,12,Finance,Boston,Referral,2022-01-23,,,,2023-10-18,,,,
111,W100110,Marketing Specialist,Permanent,Full Time,Male,Terminated,Voluntary,4,Sales,Boston,Job Board,2021-07-25,2016-03-03,,3,2021-07-25,,,,
112,W100111,Junior Software Engineer,Permanent,Full Time,Female,Active,,2,Sales,San Francisco,Referral,2016-12-21,,2021-04-02,1,2021-04-02,2022-05-19,2022-06-30,,
113,W100112,Senior Data Analyst,Contractor,Part Time,Female,Active,,5,Finance,Remote,Campus Recruiting,2020-10-09,,,,2020-10-09,,,,
114,W100113,CFO,Permanent,Full Time,Male,Active,,13,Operations,San Francisco,Job Board,2017-11-06,,,12,2017-11-06,,,,
115,W100114,Vice President of Sales,Permanent,Full Time,Female,Active,,11,IT,New York,Recruiter,2015-02-09,,2018-04-06,10,2018-04-06,,,,
116,W100115,Sales Manager,Permanent,Part Time,Female,Active,,7,IT,Austin,Campus Recruiting,2012-03-11,,2017-08-08,6,2017-08-08,,,,
117,W100116,Director of Sales,Permanent,Full Time,Male,Active,,9,IT,Remote,Recruiter,2015-01-24,,,,2015-01-24,,,,
118,W100117,COO,Permanent,Full Time,Male,Active,,13,Operations,Chicago,Internal Transfer,2017-04-23,,2023-06-11,12,2023-06-11,,,,
119,W100118,Product Manager,Permanent,Part Time,Female,Active,,7,HR,Remote,Referral,2017-03-04,,,,2017-03-04,,,,
120,W100119,CTO,Permanent,Full Time,Female,Terminated,Involuntary,13,IT,Austin,Campus Recruiting,2014-02-22,2021-05-20,2023-12-28,12,2023-12-28,,,2024-01-31,2024-03-13
121,W100120,Director of Engineering,Permanent,Full Time,Female,Active,,9,Finance,Remote,Internal Transfer,2020-12-02,,,,2020-12-02,,,,
122,W100121,CTO,Permanent,Full Time,Male,Active,,13,HR,Remote,Job Board,2023-06-11,,,,2023-06-11,,,,
123,W100122,Vice President of Sales,Permanent,Full Time,Female,Active,,11,Engineering,Austin,Job Board,2016-10-20,,,,2016-10-20,,,,
124,W100123,Senior Product Manager,Permanent,Full Time,Male,Active,,9,HR,Austin,Referral,2012-05-19,,2023-01-14,8,2023-01-14,,,,
125,W100124,CFO,Permanent,Full Time,Female,Terminated,Voluntary,13,Product,Austin,Job Board,2021-04-11,2017-01-02,2023-01-10,12,2023-01-10,,,,
126,W100125,Junior Sales Associate,Permanent,Full Time,Male,Active,,2,Sales,Chicago,Referral,2016-06-05,,,1,2016-06-05,,,,
127,W100126,CTO,Permanent,Full Time,Female,Active,,13,HR,Austin,Campus Recruiting,2012-05-15,,2017-10-20,12,2017-10-20,,,,
128,W100127,Senior Software Engineer,Contractor,Part Time,Female,Active,,6,HR,Boston,Job Board,2014-08-24,,2023-04-04,5,2023-04-04,2024-10-23,2024-12-04,,
129,W100128,Vice President of Sales,Permanent,Full Time,Female,Active,,11,Finance,Chicago,Internal Transfer,2021-03-27,,,10,2021-03-27,,,,
130,W100129,Director of Sales,Permanent,Full Time,Female,Active,,9,Marketing,Chicago,Referral,2012-04-14,,,,2024-08-24,,,,
131,W100130,CMO,Permanent,Full Time,Female,Active,,13,Marketing,Austin,Internal Transfer,2019-11-21,,,,2024-01-06,,,,
132,W100131,COO,Permanent,Full Time,Female,Active,,13,Marketing,New York,Referral,2018-11-05,,,,2018-11-05,,,,
133,W100132,Director of Sales,Permanent,Full Time,Female,Terminated,Voluntary,9,Marketing,Chicago,Internal Transfer,2017-09-15,2020-12-12,2019-12-07,8,2019-12-07,,,,
134,W100133,COO,Permanent,Full Time,Female,Active,,13,Operations,New York,Job Board,2015-01-13,,2023-05-14,12,2023-05-14,,,,
135,W100134,Director of Marketing,Permanent,Full Time,Male,Terminated,Involuntary,9,Engineering,Boston,Recruiter,2024-04-27,2019-07-25,,,2024-04-27,,,,
136,W100135,CFO,Permanent,Full Time,Male,Active,,13,Engineering,Austin,Campus Recruiting,2023-01-20,,,12,2023-01-20,,,,
137,W100136,COO,Permanent,Full Time,Female,Active,,13,Product,Chicago,Referral,2013-01-02,,2023-09-06,12,2023-09-06,,,,
138,W100137,SVP of Marketing,Permanent,Full Time,Female,Active,,12,Sales,Remote,Referral,2012-01-06,,,,2012-01-06,,,,
139,W100138,SVP of Marketing,Permanent,Full Time,Male,Active,,12,Marketing,Remote,Recruiter,2014-03-05,,2022-03-01,11,2022-03-01,,,,
140,W100139,Junior Marketing Specialist,Permanent,Part Time,Female,Terminated,Involuntary,2,Operations,Remote,Internal Transfer,2018-01-02,2019-08-22,,1,2018-01-02,,,2021-04-27,2021-06-08
141,W100140,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,IT,Remote,Job Board,2020-11-01,,,7,2023-05-15,,,,
142,W100141,SVP of Marketing,Permanent,Full Time,Female,Active,,12,Engineering,New York,Internal Transfer,2011-05-23,,,,2011-05-23,,,,
143,W100142,Marketing Manager,Permanent,Part Time,Female,Active,,7,IT,Austin,Recruiter,2019-10-03,,,,2019-10-03,,,,
144,W100143,Junior Software Engineer,Permanent,Full Time,Male,Active,,2,Marketing,Chicago,Campus Recruiting,2019-04-07,,,,2019-04-07,2023-11-17,2023-12-29,,
145,W100144,Sales Associate,Contractor,Part Time,Female,Terminated,Voluntary,4,Marketing,New York,Internal Transfer,2021-05-02,2019-07-07,,3,2021-05-02,,,,
146,W100145,Senior Sales Associate,Permanent,Part Time,Female,Active,,6,Marketing,Austin,Campus Recruiting,2023-01-09,,,,2023-01-09,,,,
147,W100146,SVP of Engineering,Permanent,Full Time,Male,Active,,12,Product,San Francisco,Job Board,2013-01-16,,,,2025-01-02,,,,
148,W100147,Senior Sales Associate,Permanent,Full Time,Male,Active,,6,Operations,New York,Internal Transfer,2013-10-21,,,,2013-10-21,,,,
149,W100148,Marketing Manager,Contractor,Full Time,Male,Active,,7,Operations,Remote,Internal Transfer,2020-03-18,,2023-09-12,6,2023-09-12,,,,
150,W100149,Data Scientist,Contractor,Part Time,Male,Active,,6,Product,Austin,Internal Transfer,2018-12-15,,,5,2018-12-15,,,,
151,W100150,Director of Sales,Permanent,Full Time,Female,Active,,9,Sales,New York,Campus Recruiting,2023-03-11,,,8,2023-03-11,,,,
152,W100151,Engineering Manager,Contractor,Full Time,Female,Active,,7,Finance,New York,Job Board,2011-01-18,,2021-11-06,6,2021-11-06,,,,
153,W100152,Junior Marketing Specialist,Permanent,Full Time,Male,Active,,2,IT,Austin,Internal Transfer,2019-12-23,,,1,2019-12-23,,,,
154,W100153,Sales Manager,Permanent,Part Time,Male,Active,,7,HR,San Francisco,Recruiter,2016-07-10,,2022-05-09,6,2022-05-09,,,,
155,W100154,CTO,Permanent,Full Time,Male,Active,,13,HR,New York,Internal Transfer,2010-03-10,,2023-09-24,12,2023-09-24,,,,
156,W100155,SVP of Marketing,Permanent,Full Time,Female,Active,,12,HR,New York,Recruiter,2012-09-17,,2015-01-04,11,2015-01-04,,,,
157,W100156,UX Designer,Permanent,Part Time,Female,Active,,5,Sales,Remote,Internal Transfer,2018-07-06,,,,2018-07-06,,,,
158,W100157,UX Designer,Contractor,Full Time,Female,Active,,5,IT,Remote,Recruiter,2020-04-16,,2022-09-11,4,2022-09-11,,,,
159,W100158,CEO,Permanent,Full Time,Female,Active,,14,Finance,Chicago,Job Board,2021-04-05,,,13,2021-04-05,,,,
160,W100159,CMO,Permanent,Full Time,Male,Active,,13,Sales,New York,Internal Transfer,2011-12-28,,2017-10-27,12,2017-10-27,2022-04-07,2022-05-19,2023-04-29,2023-06-10
161,W100160,SVP of Sales,Permanent,Full Time,Male,Active,,12,Marketing,Boston,Job Board,2015-01-09,,2017-12-21,11,2017-12-21,,,,
162,W100161,Junior Marketing Specialist,Contractor,Full Time,Female,Terminated,Involuntary,2,Operations,New York,Recruiter,2012-12-02,2016-04-27,2021-05-19,1,2021-05-19,,,,
163,W100162,Data Analyst,Contractor,Part Time,Male,Active,,3,Finance,Remote,Campus Recruiting,2018-08-03,,,2,2018-08-03,,,,
164,W100163,Junior Marketing Specialist,Permanent,Full Time,Male,Active,,2,IT,Chicago,Recruiter,2013-09-02,,2023-01-09,1,2023-01-09,,,,
165,W100164,Junior Marketing Specialist,Permanent,Part Time,Female,Active,,2,IT,Remote,Campus Recruiting,2021-04-18,,2022-06-22,1,2022-06-22,,,,
166,W100165,SVP of Marketing,Permanent,Full Time,Female,Active,,12,Sales,Remote,Job Board,2015-12-05,,,,2015-12-05,,,,
167,W100166,SVP of Sales,Permanent,Full Time,Male,Active,,12,Product,Boston,Campus Recruiting,2020-07-02,,,11,2020-07-02,,,,
168,W100167,CFO,Permanent,Full Time,Female,Active,,13,HR,Remote,Internal Transfer,2018-05-10,,,12,2018-05-10,,,,
169,W100168,Vice President of Engineering,Permanent,Full Time,Female,Terminated,Involuntary,11,Engineering,Austin,Referral,2024-09-24,2021-05-09,,,2023-10-26,,,,
170,W100169,SVP of Engineering,Permanent,Full Time,Male,Active,,12,HR,Chicago,Referral,2010-11-20,,2016-02-26,11,2016-02-26,,,,
171,W100170,Sales Associate,Permanent,Part Time,Female,Active,,4,Engineering,Boston,Internal Transfer,2020-05-14,,2020-07-17,3,2020-07-17,,,,
172,W100171,Vice President of Marketing,Permanent,Full Time,Male,Active,,11,Marketing,San Francisco,Internal Transfer,2022-08-27,,,,2022-08-27,,,,
173,W100172,Software Engineer,Contractor,Full Time,Female,Active,,4,Engineering,New York,Referral,2021-04-12,,,3,2021-04-12,,,,
174,W100173,Senior Data Analyst,Permanent,Part Time,Male,Active,,5,Marketing,Remote,Campus Recruiting,2012-01-11,,,,2012-01-11,,,,
175,W100174,CIO,Permanent,Full Time,Male,Active,,13,HR,Austin,Campus Recruiting,2013-11-12,,2018-10-25,12,2018-10-25,,,,
176,W100175,SVP of Sales,Permanent,Full Time,Female,Active,,12,Sales,Chicago,Internal Transfer,2024-08-26,,,,2024-08-26,2024-05-19,2024-06-30,,
177,W100176,CFO,Permanent,Full Time,Female,Active,,13,HR,San Francisco,Job Board,2013-11-26,,2016-10-20,12,2016-10-20,,,,
178,W100177,Senior Data Scientist,Permanent,Full Time,Female,Terminated,Voluntary,8,Sales,New York,Job Board,2013-11-27,2015-04-10,2016-07-17,7,2016-07-17,,,,
179,W100178,SVP of Engineering,Permanent,Full Time,Male,Active,,12,Sales,San Francisco,Recruiter,2024-12-27,,,,2023-04-01,,,,
180,W100179,Data Analyst,Permanent,Full Time,Male,Active,,3,IT,New York,Referral,2019-05-07,,2020-12-01,2,2020-12-01,,,2020-10-30,2020-12-11
181,W100180,Vice President of Sales,Permanent,Full Time,Female,Active,,11,Engineering,Boston,Internal Transfer,2014-09-04,,,,2014-09-04,,,,
182,W100181,Data Scientist,Contractor,Full Time,Male,Active,,6,Finance,San Francisco,Campus Recruiting,2022-07-07,,,,2024-10-12,,,,
183,W100182,Engineering Manager,Permanent,Full Time,Female,Active,,7,Sales,Remote,Job Board,2022-05-17,,2023-11-16,6,2023-11-16,,,,
